FOODID,FOODNAME_FI,FOODNAME_EN,FOODNAME_SV,FUCLASS,IGCLASS,FUCLASS_subsitute,kgCO2-eq/kg,gCO2-eq/100g,Data quality,Average_source
30402,"JUUSTO, PUOLIKOVA JUUSTO, RASVAA 5 %","CHEESE, SEMI-HARD CHEESE, 5% FAT","OST, HALVHÅRD OST, 5 % FETT","Juustot, kypsytetyt juustot","Juustot, kypsytetyt, rasvaa  <= 17%",,4.69,469.0,Product,-
30406,"RAEJUUSTO, RASVAA 2-5 %, LAKTOOSITON","COTTAGE CHEESE, 2-5% FAT, LACTOSE-FREE","GRYNOST, 2-5 % FETT, LAKTOSFRI","Juustot, tuorejuustot","Juustot, tuorejuustot, rasvaa <= 15 %",,3.3,330.0,Category average,IGCLASS
30423,"MAITO, RASVATON, LAKTOOSITON MAITOJUOMA, D-VITAMIINIA 1 UG","MILK, 0% FAT, LACTOSE-FREE, 1 UG ADDED VITAMIN D","MJÖLK, FETTFRI, LAKTOSFRI, 1 UG VITAMIN D",Maitojuoma rasvaton,Rasvaton maito ,,0.95,95.0,Product,-
30428,"JUUSTO, SINIHOMEJUUSTO, RASVAA 17 %, AURA","CHEESE, BLUE CHEESE, AURA, 17% FAT","OST, BLÅMÖGELOST, 17 % FETT, AURA","Juustot, kypsytetyt juustot","Juustot, kypsytetyt, rasvaa  <= 17%",,4.69,469.0,Category average,IGCLASS
30429,"JUUSTO, VALKOHOMEJUUSTO, RASVAA 16 %, CAMEMBERT/BRIE","CHEESE, WHITE MOULD CHEESE, CAMEMBERT/BRIE, 16% FAT","OST, VITMÖGELOST, 16 % FETT, CAMEMBERT/BRIE","Juustot, kypsytetyt juustot","Juustot, kypsytetyt, rasvaa >17 %",,4.4,440.0,Product,-
30430,"SIIDERI, KUIVA, 5,5 TIL% ALKOHOLIA","CIDER, DRY, 5.5% VOLUME","CIDER, TORR, 5,5 VOL-% ALKOHOL",Siiderit,Siiderit,,0.82,82.0,Product,-
30432,"SIIDERIJUOMA, 0,7 TIL% ALKOHOLIA","CIDER, 0.7% VOLUME","CIDERDRYCK, 0,7 VOL-% ALKOHOL",Muut juomat,Muut juomat,,0.82,82.0,Product,-
30440,RIISISUKLAA,RICE CHOCOLATE,RISCHOKLAD,Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
30444,"TOMAATTI, AURINKOKUIVATTU, ÖLJYSSÄ","TOMATO, SUN-DRIED, IN OIL","TOMAT, SOLTORKAD, I OLJA",Kasvissäilykkeet,Kasvissäilykkeet,,13.56,1356.0,Product,-
30449,"VIILI, MAUSTAMATON, RASVAA 1 %, YKKÖSVIILI, VL","CURD MILK, PLAIN, 1% FAT, LOW-LACTOSE","FIL, NATURELLT, 1 % FETT, ETTANS FIL, LÅG LAKTOSHALT",Viili,Viili,Jogurtit,1.93,193.0,Category average,FUCLASS
30450,"VIILI, MAUSTETTU, RASVAA 2 %, VL","CURD MILK, FLAVOURED, 2% FAT, LOW-LACTOSE","FIL, FRUKT-/BÄRFIL, 2 % FETT, LÅG LAKTOSHALT",Viili,Viili,Jogurtit,1.93,193.0,Category average,FUCLASS
30451,"KIVENNÄISVESI, FRUKTOOSILLA MAKEUTETTU","MINERAL WATER, SWEETENED WITH FRUCTOSE","MINERALVATTEN, SÖTAD MED FRUKTOS",Vedet,Virvoitusjuomat,,0.29,29.0,Category average,IGCLASS
30452,"JOGURTTI, JUOTAVA, RASVAA 0,1 %, VL","YOGHURT, DRINKABLE, FLAVOURED, FAT 0.1%, LOW-LACTOSE","YOGHURTDRYCK, 0,1 % FETT, LÅG LAKTOSHALT",Jogurtit,"Jogurtit, rasvaa <= 1 %",,1.93,193.0,Category average,FUCLASS
30454,"KERMAVIILI, RASVAA 6 %, VL","SOUR CREAM, 6% FAT, LOW-LACTOSE","GRÄDDFIL, LÅG LAKTOSHALT, 6 % FETT","Hapanmaitotuotteet, muut","Hapanmaitotuotteet, muut",,1.93,193.0,Category average,IGCLASS
30455,"KERMAVIILI, RASVAA 3,5 % ,VL","SOUR CREAM, 3.5% FAT, LOW-LACTOSE","GRÄDDFIL, LÅG LAKTOSHALT, 3,5 % FETT","Hapanmaitotuotteet, muut","Hapanmaitotuotteet, muut",,1.93,193.0,Category average,IGCLASS
30456,"JOGURTTI, MAUSTETTU, RASVAA 2 %, VL, D-VIT 0,5 UG","YOGHURT, FLAVOURED, 2% FAT, LOW-LACTOSE, 0.5 UG VITAMIN D","YOGHURT, SMAKSATT, 2 % FETT, LÅG LAKTOSHALT, 0,5 UG VITAMIN D",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
30462,"JOGURTTI, MAUSTETTU, RASVAA 1,5 %, VL","YOGHURT, FLAVOURED, 1.5% FAT, LOW-LACTOSE","YOGHURT, SMAKSATT, 1,5 % FETT, LÅG LAKTOSHALT",Jogurtit,"Jogurtit, rasvaa <= 1 %",,1.93,193.0,Category average,FUCLASS
30464,"JOGURTTI, MAUSTETTU, RASVATON, LAKTOOSITON","YOGHURT, FLAVOURED, FAT-FREE, LACTOSE-FREE","YOGHURT, SMAKSATT, FETTFRI, LAKTOSFRI",Jogurtit,"Jogurtit, rasvaa <= 1 %",,1.93,193.0,Category average,FUCLASS
30570,MALTODEKSTRIINI,MALTODEXTRIN,MALTODEXTRIN,Sekalaiset ruoka-aineet,Tärkkelykset,,1.31,131.0,Category average,IGCLASS
30572,"GRILLIMAKKARA, TUOTEKESKIARVO","BARBEQUE SAUSAGE, AVERAGE","GRILLKORV, MEDELVÄRDE AV INDUSTRIELLA PRODUKTER",Makkarat,Makkarat,,5.61,561.0,Category average,IGCLASS
30573,"GRILLIMAKKARA, LIHAISA, TUOTEKESKIARVO","BARBEQUE SAUSAGE, MEATY, AVERAGE","GRILLKORV, KÖTTIG, MEDELVÄRDE AV INDUSTRIELLA PRODUKTER",Makkarat,Makkarat,,5.61,561.0,Category average,IGCLASS
30574,"MEHU, HÖYRYMEHU, MUSTAHERUKKA, LAIMENTAMATON, SOKERITON","BLACKCURRANT JUICE, UNSWEETENED, UNDILUTED, HOME-MADE","SAFT, ÅNGAD SVARTVINBÄRSAFT, OUTSPÄDD, SOCKERFRI",Mehujuomat,Mehujuomat,,0.68,68.0,Category average,IGCLASS
30575,"MEHU, HÖYRYMEHU, MUSTAHERUKKA, LAIMENNETTU, SOKERITON","BLACKCURRANT JUICE, UNSWEETENED, DILUTED, HOME-MADE","SAFT, ÅNGAD SVARTVINBÄRSAFT, UTSPÄDD, SOCKERFRI",Mehujuomat,Mehujuomat,,0.68,68.0,Category average,IGCLASS
30606,"TÄYSMEHU, C-VITAMIINIA, D-VITAMIINIA, PROBIOOTTEJA","JUICE, UNSWEETENED, VITAMIN C, VITAMIN D, PROBIOTICS","JUICE, VITAMIN C, VITAMIN D, PROBIOTIKA",Täysmehut,Täysmehut,,0.68,68.0,Product,-
30607,"MEHU, MEHUJUOMA, KUITUA","JUICE DRINK, FRUIT, BERRY, FIBRE, CONTAINS SUGAR","SAFTDRYCK, FIBER",Mehujuomat,Mehujuomat,,0.68,68.0,Product,-
30608,"JOGURTTI, MAUSTETTU HILLOLLA, RASVATON","YOGHURT WITH JAM, FAT-FREE","YOGHURT, SMAKSATT MED SYLT, FETTFRI",Jogurtit,"Jogurtit, rasvaa <= 1 %",,1.93,193.0,Category average,FUCLASS
30610,"VOI, VÄHÄSUOLAINEN","BUTTER, LOW-SODIUM","SMÖR, LÅG SALTHALT","Voi, maitorasva","Voi, maitorasva",,7.41,741.0,Product,-
30629,"MARGARIINI 60 %, KULTARYPSI","MARGARINE 60%, KULTARYPSI","MARGARIN 60 %, KULTARYPSI",Margariini ja rasvalevitteet >= 55%,Margariini ja rasvalevite >= 55%,,4.02,402.0,Category average,IGCLASS
30631,"MARGARIINI 60 %, TEOLLINEN TUOTEKESKIARVO","MARGARINE 60%, AVERAGE OF INDUSTRIAL PRODUCTS","MARGARIN 60 %, INDUSTRIELL, MEDELVÄRDE AV INDUSTRIELLA PRODUKTER",Margariini ja rasvalevitteet >= 55%,Margariini ja rasvalevite >= 55%,,6.08,608.0,Product,-
30633,"MEHUJUOMATIIVISTE, VITAMINOITU","FRUIT JUICE, CONCENTRATED, WITH ADDED VITAMINS, CONTAINS SUGAR","FRUKTSAFT, KONCENTRAT, VITAMINERAD",Mehujuomat,Mehujuomat,,0.68,68.0,Category average,IGCLASS
30636,"SIIDERI, KEVYT, 4,7 TIL% ALKOHOLIA","CIDER, LIGHT, 4.7% VOLUME","CIDER, LÄTT, 4,7 VOL-% ALKOHOL",Siiderit,Siiderit,,0.82,82.0,Product,-
30638,"GIN LONG DRINK, KEVYT 4,7 TIL%","GIN AND GRAPEFRUIT DRINK, LIGHT, 4.7% VOLUME","GIN LONG DRINK, LÄTT, 4,7 VOL-% ALKOHOL","Alkoholijuomat, muut",Muut alkoholijuomat,Siiderit,0.82,82.0,Category average,FUCLASS
30641,"KANANMUNA, OMEGA, KUORETON","EGG, OMEGA, WITHOUT SHELL","ÄGG, OMEGA, UTAN SKAL",Kananmuna,Kananmunat,,1.8,180.0,Product,-
30646,"RUOANVALMISTUSKERMA, RASVAA 5 %, VL","COOKING CREAM, 5% FAT, LOW-LACTOSE","MATLAGNINGSGRÄDDE, 5 % FETT, LÅG LAKTOSHALT",Kerma,Kerma/ creme,,2.24,224.0,Product,-
30665,"ATERIANKORVIKE, PROTEIINIPATUKKA, KESKIARVO, N. 30 % PROTEIINIA","MEAL REPLACEMENT, PROTEIN BAR, AVERAGE, C. 30% PROTEIN","MÅLTIDSERSÄTTNING, PROTEINRIK STÅNG, MEDELVÄRDE, CA 30 % PROTEIN",Ateriankorvikkeet,Ateriankorvikkeet,,1.79,179.0,Category average,IGCLASS
30673,"RAHKA, MAUSTETTU, RASVAA 3,5 %","QUARK, FLAVOURED, 3.5% FAT","KVARG, SMAKSATT, 3,5 % FETT",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
30792,"BROILERI, KOIPI-REISI, NAHATON",CHICKEN LEG AND THIGH WITHOUT SKIN,"KYCKLINGLÅR, UTAN SKINN",Kanat ja muut linnut,Kanalinnut,,4.52,452.0,Product,-
30799,"JÄLKIRUOKAKASTIKE, VANILJAKASTIKE, KAURAPOHJAINEN",VANILLA SAUCE WITHOUT MILK,VANILJSÅS UTAN MJÖLK,Jälkiruokakastikkeet,"Kaurajuomat, nestemäiset kauratuotteet",,1.33,133.0,Product,-
30800,"JÄÄTELÖ, KAURAJÄÄTELÖ","ICE CREAM, VEGETABLE FAT, WITHOUT MILK","GLASS PÅ VEGETABILISKT FETT, UTAN MJÖLK",Jäätelö,"Kaurajuomat, nestemäiset kauratuotteet",,0.58,58.0,Category average,IGCLASS
30801,"KOKOLIHALEIKKELE, PARMANKINKKU, ILMAKUIVATTU KINKKU, RASVAA 15 %","PARMA HAM, 15% FAT","PARMA SKINKA, 15 % FETT",Lihaleikkeleet,Lihaleikkeleet,,14.07,1407.0,Product,-
30914,"FENKOLI, SALAATTIFENKOLI",FLORENCE FENNEL,FÄNKÅL,"Kasvikset, tuoreet",Lehtivihannekset,,0.42,42.0,Product,-
30925,"MAJONEESI, RASVAA 80 %","MAYONNAISE, 80% FAT","MAJONNÄS, 80 % FETT",Salaatinkastikkeet ja majoneesit,Salaatinkastikkeet ja majoneesit,,2.56,256.0,Product,-
30926,"MAJONEESI, RASVATON","MAYONNAISE, FAT-FREE","MAJONNÄS, FETTFRI",Salaatinkastikkeet ja majoneesit,Salaatinkastikkeet ja majoneesit,,2.56,256.0,Product,-
30968,PINJANSIEMEN,"PINE NUT, PINE KERNEL",PINJEFRÖ,"Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,2.05,205.0,Product,-
30991,"PELLAVANSIEMEN, KOKONAINEN","LINSEED, WHOLE","LINFRÖN, HELA","Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,2.1,210.0,Category average,IGCLASS
31139,"PASTA, VEHNÄNALKIOPASTA","PASTA, WHEAT GERM PASTA","PASTA, VETEGRODD",Pastalisäke,Vehnä,,1.75,175.0,Product,-
31144,"SIANLIHASUIKALE, MARINOITU, RAAKA","PORK STRIPS, MARINATED","GRISKÖTT, STRIMLAT, MARINERAT, RÅTT","Pihvit, kyljykset",Sianliha,,6.39,639.0,Category average,IGCLASS
31145,"NAUDANLIHASUIKALE, MARINOITU, RAAKA","BEEF STRIPS, MARINATED","NÖTKÖTT, STRIMLAT, MARINERAT, RÅTT","Pihvit, kyljykset",Naudanliha,,25.95,2595.0,Category average,IGCLASS
31160,RUOKASOODA,"BAKING SODA, BICARBONATE OF SODA",MATSODA,Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,5.0,500.0,Product,-
31174,"PASTA, TUMMA PROTEIINIPASTA","PASTA, DARK HIGH PROTEIN PASTA","PASTA, MÖRK, PROTEINRIK",Pastalisäke,Vehnä,,1.75,175.0,Product,-
31175,"KVINOA, SIEMEN",QUINOA,QUINOA,Jauhot,Muu vilja,,7.9,790.0,Product,-
31211,KURPITSANSIEMEN,PUMPKIN SEED,PUMPAFRÖN,"Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,2.1,210.0,Category average,IGCLASS
31212,"PÄHKINÄ, PISTAASIPÄHKINÄ","NUT, PISTACHIO NUT","NÖT, PISTAGENÖT","Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,1.02,102.0,Product,-
31213,"PAPU, MUNGOPAPU, KEITETTY, LISÄTTY SUOLAA","BEAN, MUNG BEAN, BOILED, WITH SALT","BÖNOR, MUNGOBÖNOR, KOKTA MED SALT",Palkokasvit,Palkokasvit,,0.73,73.0,Product,-
31214,"PAPU, KIDNEYPAPU, KEITETTY","BEAN, KIDNEY BEAN, BOILED","BÖNOR, KIDNEYBÖNOR, KOKTA",Palkokasvit,Palkokasvit,,0.73,73.0,Product,-
31216,"PAPU, ADUKIPAPU, KUIVATTU","BEAN, ADZUKI BEAN, DRIED","BÖNOR, ADUKIBÖNOR, TORKADE",Palkokasvit,Palkokasvit,,0.82,82.0,Category average,IGCLASS
31217,"PAPU, ADUKIPAPU, KEITETTY, SUOLATON","BEAN, ADZUKI BEAN, BOILED WITHOUT SALT","BÖNOR, ADUKIBÖNOR, KOKTA UTAN SALT",Palkokasvit,Palkokasvit,,0.82,82.0,Category average,IGCLASS
31218,"KIKHERNE, KUIVATTU","CHICK PEA, DRIED","KIKÄRTER, TORKADE",Palkokasvit,Palkokasvit,,0.61,61.0,Product,-
31219,"LINSSI, PUNAINEN, KUIVATTU","LENTILS, RED, DRIED","LINSER, RÖDA, TORKADE",Palkokasvit,Palkokasvit,,0.53,53.0,Product,-
31225,"LINSSI, PUNAINEN, KEITETTY","LENTILS, RED, COOKED","LINSER, RÖDA, KOKTA",Palkokasvit,Palkokasvit,,0.53,53.0,Product,-
31226,"JAUHO, SPELTTIJAUHO, TÄYSJYVÄ","SPELT FLOUR, WHOLE MEAL","SPELTMJÖL, SAMMALEN",Jauhot,Vehnä,,0.44,44.0,Product,-
31228,"JÄÄTELÖ, KAURAJÄÄTELÖ, PUIKKO","ICE CREAM PIN, VEGETABLE FAT, WITHOUT MILK","GLASSPINNE PÅ VEGETABILISKT FETT, UTAN MJÖLK",Jäätelö,"Kaurajuomat, nestemäiset kauratuotteet",,0.58,58.0,Category average,IGCLASS
31229,"JÄÄTELÖ, SOIJAJÄÄTELÖPUIKKO, SUKLAAKUORRUTE","SOY MILK FROZEN DESSERT, ICE CREAM BAR, CHOCOLATE COATED","GLASS, TOFUPARFAITPINNE, CHOKLADÖVERDRAG",Jäätelö,"Juomat palkokasveista, pähkinöistä ja siemenistä",,0.34,34.0,Category average,IGCLASS
31231,"SOIJAVALMISTE, VAIHTOEHTO KERMALLE, RASVAA 17,5 %","SOYA PRODUCT, NON-DAIRY CREAM SUBSTITUTE, 17.5% FAT","SOJAPRODUKT, ALTERNATIV TILL GRÄDDE, 17,5 % FETT",Kerma,"Juomat palkokasveista, pähkinöistä ja siemenistä",,0.34,34.0,Category average,IGCLASS
31233,"PAPU, HÄRKÄPAPU, KUIVATTU, KEITETTY, LISÄTTY SUOLA","BEAN, BROAD BEAN, FAVA BEAN, BOILED WITH SALT","BÖNOR, BONDBÖNOR, KOKTA MED SALT",Palkokasvit,Palkokasvit,,0.73,73.0,Product,-
31237,"AMARANTTI, HIUTALE",AMARANTH FLAKES,"AMARANT, FLINGOR",Jauhot,Muu vilja,,0.87,87.0,Product,-
31238,"JOHANNEKSENLEIPÄPUUJAUHE, CAROB-JAUHE","ST. JOHN'S BREAD POWDER, CAROB POWDER","JOHANNESBRÖDPULVER, CAROBPULVER",Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,6.4,640.0,Category average,IGCLASS
31246,"SOIJAJUOMA, VITAMINOITU","SOYA DRINK, VITAMINS","SOJADRYCK, VITAMINERAD",Kasvismehut,"Juomat palkokasveista, pähkinöistä ja siemenistä",,0.29,29.0,Product,-
31247,"SOIJAJUOMA, EI LISÄTTYÄ SOKERIA","SOYA DRINK, PLAIN",SOJADRYCK UTAN TILLSATT SOCKER,Kasvismehut,"Juomat palkokasveista, pähkinöistä ja siemenistä",,0.29,29.0,Product,-
31248,"SOIJAJUOMA, SUKLAA, VITAMINOITU","SOYA DRINK, CHOCOLATE, VITAMINS","SOJADRYCK, CHOKLAD, MED VITAMINER",Kasvismehut,"Juomat palkokasveista, pähkinöistä ja siemenistä",,0.29,29.0,Product,-
31249,TEMPEH,TEMPEH,TEMPEH,Sekalaiset ruoka-aineet,Soijavalmisteet,,1.14,114.0,Product,-
31252,"RIISIKAKKU, RIISIKEKSI",RICE CAKE,"RISKAKA, RISKEX",Voileipäkeksit,Riisi,,2.31,231.0,Category average,IGCLASS
31253,RIISI-MAISSIKAKKU,RICE CAKE WITH CORN,MAJS-RISKAKA,Voileipäkeksit,Riisi,,2.31,231.0,Category average,IGCLASS
31254,SUKLAARUSINA,CHOCOLATE RAISIN,CHOKLADRUSSIN,"Pähkinät, siemenet ja kuivatut hedelmät",Muut hedelmät,,0.69,69.0,Category average,IGCLASS
31256,"PASTA, TUOREPASTA, KANANMUNAA","FRESH PASTA, CONTAINS EGG","PASTA, FÄRSK PASTA, ÄGG",Pastalisäke,Vehnä,,2.68,268.0,Product,-
31457,PUOLUKKAHILLO,LINGONBERRY JAM,LINGONSYLT,"Hillot, marmeladit",Hillot,,1.26,126.0,Category average,IGCLASS
31459,OMENAHILLO,APPLE JAM,ÄPPELSYLT,"Hillot, marmeladit",Hillot,,1.26,126.0,Category average,IGCLASS
31482,"MAKARONI, PASTA, KANANMUNAA","MACARONI, PASTA, CONTAINS EGG","MAKARONI, PASTA, INNEHÅLLER ÄGG",Pastalisäke,Vehnä,,1.42,142.0,Category average,IGCLASS
31487,"MAITOJAUHE, RASVATON, VL, D-VITAMIINIA 5 UG","MILK POWDER, FAT-FREE MILK, LOW-LACTOSE, 5 UG ADDED VITAMIN D","MJÖLKPULVER, FETTFRITT, LÅG LAKTOSHALT, 5 UG VITAMIN D",Sekalaiset ruoka-aineet,Maitojauheet,,14.67,1467.0,Product,-
31488,"MAITOJAUHE, RASVATON, LAKTOOSITON, D-VITAMIINIA 5 UG","MILK POWDER, FAT-FREE MILK, LACTOSE-FREE, 5 UG ADDED VITAMIN D","MJÖLKPULVER, FETTFRITT, LAKTOSFRITT, 5 UG VITAMIN D",Sekalaiset ruoka-aineet,Maitojauheet,,14.67,1467.0,Product,-
31495,PELLAVAÖLJY,"LINSEED OIL, FLAXSEED OIL",LINOLJA,Öljy,Öljy,,2.74,274.0,Product,-
31496,"MAITOJAUHE, RASVATON, D-VITAMIINIA 5 UG","MILK POWDER, FAT-FREE MILK, 5 UG ADDED VITAMIN D","MJÖLKPULVER, FETTFRITT, 5 UG TILLSATT VITAMIN D",Sekalaiset ruoka-aineet,Maitojauheet,,14.67,1467.0,Product,-
31497,"MAITOJAUHE, RASVATON, VL","MILK POWDER, FAT-FREE MILK, LOW-LACTOSE","MJÖLKPULVER, FETTFRITT, LÅG LAKTOSHALT",Sekalaiset ruoka-aineet,Maitojauheet,,14.67,1467.0,Product,-
31498,"MAITOJAUHE, RASVATON, LAKTOOSITON","MILK POWDER, FAT-FREE MILK, LACTOSE-FREE","MJÖLKPULVER, FETTFRITT, LAKTOSFRITT",Sekalaiset ruoka-aineet,Maitojauheet,,14.67,1467.0,Product,-
31504,RASVASEOSLEVITE 70 %,BLENDED SPREAD 70%,MATFETTSBLANDNING 70 %,Rasvaseokset>= 55 %,Rasvaseos>= 55 %,,2.56,256.0,Category average,IGCLASS
31505,"RASVASEOSLEVITE 75 %, LAKTOOSITON","BLENDED SPREAD 75%, LACTOSE-FREE","MATFETTSBLANDNING 75 %, LAKTOSFRI",Rasvaseokset>= 55 %,Rasvaseos>= 55 %,,2.64,264.0,Product,-
31506,"RASVASEOS 40 %, VL","BLENDED SPREAD 40%, LOW-LACTOSE","MATFETTSBLANDNING 40 %, LÅG LAKTOSHALT",Rasvaseokset>= 55 %,Rasvaseos>= 55 %,,2.25,225.0,Product,-
31508,"RASVASEOS, JUOKSEVA, 80%, KESKIARVO","FAT BLEND 80%, COOKING LIQUID, AVERAGE","MATFETTSBLANDNING 80 %, FLYTANDE, MEDELVÄRDE",Ruoanvalmistus- ja teollisuusrasva,Ruoanvalmistus- ja teollisuusrasva,,2.34,234.0,Category average,IGCLASS
31511,"JOGURTTI, MAUSTETTU, RASVAA NOIN 4 %, LAKTOOSITON","YOGHURT, FLAVOURED, 4% FAT, LACTOSE-FREE","YOGHURT, SMAKSATT, CA 4 % FETT, LAKTOSFRI",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
31518,"JÄÄTELÖ, JOGURTTIJÄÄTELÖ, RASVAA 9 %","ICE CREAM, YOGHURT BASED, 9% FAT","GLASS, YOGHURTGLASS, 9 % FETT",Jäätelö,Jäätelö,,1.44,144.0,Category average,IGCLASS
31530,"VOI, LAKTOOSITON",BUTTER LACTOSE-FREE,SMÖR LAKTOSFRI,"Voi, maitorasva","Voi, maitorasva",,5.86,586.0,Product,-
31532,"JAUHO, JAUHOSEOS, TUMMA, LUONTAISESTI GLUTEENITON","FLOUR MIXTURE, NATURALLY GLUTEN-FREE, DARK","MJÖL, MJÖLBLANDNING, MÖRK, NATURLIGT GLUTENFRI",Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
31534,"JAUHO, JAUHOSEOS, GLUTEENITON, VEHNÄTÄRKKELYSTÄ, VITAMINOITU, MAITO","FLOUR MIXTURE, GLUTEN-FREE, CONTAINS WHEAT STARCH AND MILK, WITH ADDED VITAMINS","MJÖL, MJÖLBLANDNING GLUTENFRI, VETESTÄRKELSEPREPARAT, VITAMINERAD, MJÖLK",Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
31536,"KALAPUIKKO, LOHI, KYPSENTÄMÄTÖN","FISH FINGERS, SALMON, FROZEN","FISKPINNAR, LAX, OTILLREDDA",Kalat,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
31537,"PASTA, TÄYSJYVÄRIISIJAUHO, LUONTAISESTI GLUTEENITON","PASTA, WHOLEGRAIN RICE FLOUR, NATURALLY GLUTEN-FREE","PASTA, FULLKORNSRIS, NATURLIGT GLUTENFRI",Pastalisäke,Riisi,,1.16,116.0,Product,-
31538,"APRIKOOSISOSE, SOKERITON, C-VITAMINOITU","APRICOT PUREE, UNSWEETENED, WITH ADDED VITAMIN C","APRIKOSPURÉ, SOCKERFRI, VITAMIN C","Hedelmät, tuoreet",Hedelmäsäilykkeet,,0.71,71.0,Product,-
31539,"MARJASOSE, SOKERITON, C-VITAMINOITU","BERRY PUREE, UNSWEETENED, ADDED VITAMIN C","BÄRPURÉ, SOCKERFRI, C-VITAMINERAD",Marjat,Hedelmäsäilykkeet,,0.71,71.0,Product,-
31544,"JAUHO, JAUHOSEOS, VAALEA, LUONTAISESTI GLUTEENITON","FLOUR MIXTURE, NATURALLY GLUTEN-FREE","MJÖL, MJÖLBLANDNING, LJUS, NATURLIGT GLUTENFRI",Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
31550,"JAUHO, JAUHOSEOS, VAALEA, GLUTEENITON, VEHNÄTÄRKKELYS, MAITOJAUHE","FLOUR MIXTURE, GLUTEN-FREE, CONTAINS WHEAT STARCH AND MILK POWDER","MJÖL, MJÖLBLANDNING, LJUS, GLUTENFRI, VETESTÄRKELSEPREPARAT, MJÖLKPULVER",Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
31552,GUAVA,GUAVA,GUAVA,"Hedelmät, tuoreet",Muut hedelmät,,0.61,61.0,Product,-
31555,"GRANAATTIOMENA, KUORITTU","POMEGRANATE, WITHOUT SKIN","GRANATÄPPLE, SKALAT","Hedelmät, tuoreet",Muut hedelmät,,0.17,17.0,Product,-
31557,"CHILI, VIHREÄ, TUORE","CHILI, GREEN, RAW","CHILI, GRÖN, FÄRSK","Kasvikset, tuoreet",Vihanneshedelmät,,0.57,57.0,Product,-
31675,"PASTA, SPAGETTI, MAKARONI, LUONTAISESTI GLUTEENITON","PASTA, SPAGHETTI, MACARONI, NATURALLY GLUTEN-FREE","PASTA, SPAGHETTI, MAKARONI, NATURLIGT GLUTENFRI",Pastalisäke,Muu vilja,,1.13,113.0,Product,-
31677,"PASTA, SPAGETTI, LUONTAISESTI GLUTEENITON, KANANMUNAA","PASTA, SPAGHETTI, NATURALLY GLUTEN-FREE, CONTAINS EGG","PASTA, SPAGHETTI, NATURLIGT GLUTENFRI, INNEHÅLLER ÄGG",Pastalisäke,Muu vilja,,1.69,169.0,Category average,IGCLASS
31679,"PASTA, KUITUPITOINEN, LUONTAISESTI GLUTEENITON","PASTA, RICH IN FIBER, NATURALLY GLUTEN-FREE","PASTA, FIBERRIK, NATURLIGT GLUTENFRI",Pastalisäke,Muu vilja,,1.13,113.0,Product,-
31681,"PSYLLIUM, SIEMENKUORIJAUHE",PSYLLIUM HUSKS,PSYLLIUM FRÖSKAL,Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
31683,"JAUHO, JAUHOSEOS, GLUTEENITON, VEHNÄTÄRKKELYSTÄ, VITAMINOITU","FLOUR MIXTURE, GLUTEN-FREE, CONTAINS WHEAT STARCH, WITH ADDED VITAMINS","MJÖL, GLUTENFRI MJÖLBLANDNING AV VETESTÄRKELSE, VITAMINERAD",Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
31692,"JAUHO, KORPPUJAUHO, LUONTAISESTI GLUTEENITON","FLOUR, BREADCRUMBS, NATURALLY GLUTEN-FREE","MJÖL, SKORPMJÖL, NATURLIGT GLUTENFRITT",Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
31891,"MAITO, TÄYSMAITO, VL, D-VITAMIINIA 1 UG","MILK, 3.5% FAT, LOW-LACTOSE, 1 UG ADDED VITAMIN D","MJÖLK, HELMJÖLK, LÅG LAKTOSHALT, 1 UG VITAMIN D",Maitojuomat >2%,"Rasvainen maito, rasvaa > 2 % ",,1.25,125.0,Product,-
31894,"MAITO, KAHVIMAITO, RASVAA 2 %, LAKTOOSITON, D-VITAMIINIA 1 UG","MILK, COFFEE MILK 2% FAT, LACTOSE-FREE, 1 UG ADDED VITAMIN D","MJÖLK, KAFFEMJÖLK 2 % FETT, LAKTOSFRI, 1 UG VITAMIN D",Maitojuomat <2%,"Vähärasvainen maito, rasvaa <= 2 %",,1.07,107.0,Product,-
